X,T,P,Y
0.558,79.4504,0.0747969,0.679136
0.56,79.4383,0.0748323,0.679993
0.562,79.4263,0.0748676,0.680852
0.564,79.4143,0.0749029,0.681715
0.566,79.4023,0.0749381,0.682582
0.568,79.3904,0.0749732,0.683452
0.57,79.3785,0.0750082,0.684325
0.572,79.3667,0.0750431,0.685202
0.574,79.355,0.075078,0.686083
0.576,79.3433,0.0751127,0.686967
0.578,79.3317,0.0751473,0.687854
0.58,79.3201,0.0751819,0.688745
0.582,79.3085,0.0752164,0.68964
0.584,79.2971,0.0752507,0.690539
0.586,79.2856,0.075285,0.691441
0.588,79.2742,0.0753191,0.692347
0.59,79.2629,0.0753532,0.693256
0.592,79.2517,0.0753871,0.694169
0.594,79.2404,0.0754209,0.695087
0.596,79.2293,0.0754547,0.696008
0.598,79.2182,0.0754883,0.696932
0.6,79.2071,0.0755218,0.697861
0.602,79.1961,0.0755552,0.698793
0.604,79.1852,0.0755885,0.69973
0.606,79.1743,0.0756216,0.70067
0.608,79.1635,0.0756547,0.701614
0.61,79.1527,0.0756876,0.702563
0.612,79.142,0.0757204,0.703515
0.614,79.1314,0.0757531,0.704471
0.616,79.1208,0.0757857,0.705431
0.618,79.1102,0.0758181,0.706396
0.62,79.0998,0.0758504,0.707364
0.622,79.0893,0.0758826,0.708337
0.624,79.079,0.0759146,0.709314
0.626,79.0687,0.0759465,0.710295
0.628,79.0584,0.0759783,0.71128
0.63,79.0483,0.07601,0.712269
0.632,79.0381,0.0760415,0.713263
0.634,79.0281,0.0760728,0.714261
0.636,79.0181,0.0761041,0.715263
0.638,79.0082,0.0761351,0.71627
0.64,78.9983,0.0761661,0.717281
0.642,78.9885,0.0761969,0.718296
0.644,78.9787,0.0762275,0.719316
0.646,78.969,0.076258,0.72034
0.648,78.9594,0.0762884,0.721368
0.65,78.9498,0.0763186,0.722402
0.652,78.9403,0.0763486,0.723439
0.654,78.9309,0.0763785,0.724481
0.656,78.9215,0.0764082,0.725528
0.658,78.9122,0.0764378,0.726579
0.66,78.903,0.0764672,0.727635
0.662,78.8938,0.0764964,0.728695
0.664,78.8847,0.0765255,0.729761
0.666,78.8757,0.0765544,0.73083
0.668,78.8667,0.0765832,0.731905
0.67,78.8578,0.0766117,0.732984
0.672,78.849,0.0766401,0.734068
0.674,78.8402,0.0766684,0.735157
0.676,78.8315,0.0766964,0.736251
0.678,78.8229,0.0767243,0.737349
0.68,78.8143,0.076752,0.738452
0.682,78.8058,0.0767795,0.739561
0.684,78.7974,0.0768069,0.740674
0.686,78.7891,0.076834,0.741792
0.688,78.7808,0.076861,0.742915
0.69,78.7726,0.0768878,0.744043
0.692,78.7644,0.0769144,0.745176
0.694,78.7564,0.0769408,0.746314
0.696,78.7484,0.076967,0.747457
0.698,78.7405,0.076993,0.748605
0.7,78.7326,0.0770189,0.749759
0.702,78.7248,0.0770445,0.750917
0.704,78.7172,0.0770699,0.752081
0.706,78.7095,0.0770952,0.75325
0.708,78.702,0.0771202,0.754424
0.71,78.6945,0.0771451,0.755603
0.712,78.6871,0.0771697,0.756788
0.714,78.6798,0.0771941,0.757978
0.716,78.6726,0.0772183,0.759174
0.718,78.6654,0.0772423,0.760374
0.72,78.6583,0.0772661,0.761581
0.722,78.6513,0.0772897,0.762792
0.724,78.6443,0.0773131,0.76401
0.726,78.6374,0.0773362,0.765232
0.728,78.6307,0.0773592,0.766461
0.73,78.6239,0.0773819,0.767694
0.732,78.6173,0.0774044,0.768934
0.734,78.6107,0.0774266,0.770179
0.736,78.6043,0.0774487,0.771429
0.738,78.5979,0.0774705,0.772686
0.74,78.5916,0.0774921,0.773947
0.742,78.5853,0.0775135,0.775215
0.744,78.5792,0.0775346,0.776488
0.746,78.5731,0.0775555,0.777768
0.748,78.5672,0.0775762,0.779053
0.75,78.5613,0.0775966,0.780343
0.752,78.5555,0.0776168,0.78164
0.754,78.5497,0.0776367,0.782943
0.756,78.5441,0.0776564,0.784251
0.758,78.5386,0.0776759,0.785566
0.76,78.5331,0.0776951,0.786886
0.762,78.5277,0.0777141,0.788212
0.764,78.5224,0.0777329,0.789545
0.766,78.5172,0.0777514,0.790884
0.768,78.5121,0.0777696,0.792228
0.77,78.5071,0.0777876,0.793579
0.772,78.5022,0.0778053,0.794936
0.774,78.4973,0.0778228,0.796299
0.776,78.4926,0.07784,0.797669
0.778,78.4879,0.077857,0.799044
